period;cmd;nb_edge_exp;nb_edge_imp;mean_exp;mean_imp;var_exp;var_imp;skew_exp;skew_imp;kurt_exp;kurt_imp
1996;12;1739;1739;12.42142857142857;9.937142857142858;195.95811224489796;200.82462040816327;2.1276758248910186;2.0955787547766906;6.681625034569164;3.850535895141495
1997;12;1854;1854;12.612244897959183;11.10179640718563;198.18297931417467;234.65430815016677;2.1270530027021612;2.093849268928355;6.5832655528462585;3.8531894261429036
1998;12;1884;1884;12.904109589041095;10.704545454545455;216.6894351660724;230.1513429752066;2.3442151177575705;2.115891072495914;8.60893854794926;3.9938228427472513
1999;12;2039;2039;13.070512820512821;11.455056179775282;229.2065664036818;276.1131485923495;2.16396801653651;2.147526475523001;6.916361201169561;4.050224525864308
2000;12;2214;2214;13.666666666666666;11.714285714285714;243.30864197530863;296.4580498866213;2.143609340038681;2.2526034759321156;6.691254771459533;4.66789142838242
2001;12;2184;2184;14.0;11.679144385026738;237.92307692307693;283.35159712888554;2.070793350310465;2.253433066060602;6.367364789907102;4.697122688617296
2002;12;2301;2301;13.0;12.047120418848168;245.75141242937852;288.7464707656041;2.2371842040165033;2.2483831779286163;7.374219530559621;4.9707208495465
2003;12;2290;2290;13.963414634146341;12.052631578947368;249.1815883402737;282.73407202216066;2.1182614189105764;2.148955997389233;6.65376636320228;4.174498980373926
2004;12;2339;2339;13.840236686390533;12.119170984455959;250.1460733167606;285.3070417997798;2.0730045452115107;2.157764885000963;6.261950687001129;4.284838396033822
2005;12;2403;2403;14.475903614457831;12.015;276.2132747858905;282.574775;2.0837764665048537;2.0729668002312134;6.09254036850146;3.9276257558108743
2006;12;2486;2486;14.975903614457831;12.368159203980099;289.5054434605894;279.8445583030123;1.9931699920356019;2.0555768688198777;5.72379281516227;3.939324428737846
2007;12;2540;2540;14.853801169590643;12.763819095477388;288.2417837967238;293.28592712305243;2.116270945627888;2.0993162208551768;7.02171478768075;4.283157480860129
2008;12;2602;2602;15.305882352941177;12.881188118811881;315.69467128027685;296.82746789530444;2.338747073289946;2.1831855151156563;8.983652601297484;4.989417190543573
2009;12;2287;2287;14.474683544303797;11.849740932642487;265.8063211023874;253.0188729898789;2.6259853273128364;2.2919910757771316;11.973833582638774;5.535486715492798
2010;12;2386;2386;14.9125;11.989949748743719;287.14234375;264.7034165803894;2.238549884146882;2.3265123463595168;7.7619602143860895;6.146239855873773
2011;12;2395;2395;14.783950617283951;12.035175879396984;282.31752019509224;293.652028989167;2.375152769214944;2.6772110794130213;9.440741984011398;8.861165342622288
2012;12;2297;2297;14.35625;11.427860696517413;262.5168359375;269.5880795029826;2.3501804043741514;2.7592590540661144;9.10601893818091;9.615057030182946
2013;12;2351;2351;14.786163522012579;11.934010152284264;272.09263874055614;276.863665644567;2.274823005694806;2.451144661945875;8.956205973659202;7.518163560947677
2014;12;2319;2319;14.314814814814815;11.48019801980198;273.2774348422496;265.7842613469268;2.158589334974592;2.6291091538560454;7.121963820538429;8.820721812063635
2015;12;2383;2383;15.57516339869281;11.797029702970297;277.7345465419283;286.755832761494;1.960115405960329;2.4260239712598577;6.331508161338801;6.936318211474605
2016;12;2313;2313;15.317880794701987;11.623115577889447;268.3095478268497;252.3152445645312;1.8370902156298525;2.26362908644447;5.424110616904773;5.64346693879671
2017;12;2189;2189;14.12258064516129;10.836633663366337;254.5462643080125;254.56242035094596;1.866607316106466;2.616843924408357;4.936291211821046;8.432784447709444
2018;12;2265;2265;14.707792207792208;11.212871287128714;275.0769522685107;256.8606264091756;1.9533611826218396;2.539343125175121;5.626763609705819;7.989220984010357
2019;12;2237;2237;14.620915032679738;11.471794871794872;258.8889743261139;250.9363839579224;1.8775895950115824;2.403668292861676;5.416416122369133;6.854507427256943
2020;12;2032;2032;13.82312925170068;10.694736842105263;240.37688000370215;226.29628808864263;1.8507703958036994;2.4501112014253956;4.656406272727819;7.279165963693982
2021;12;2196;2196;14.938775510204081;11.204081632653061;253.22754407885603;245.12161599333606;1.7049273593774739;2.4254401445879217;3.8260758096553156;6.855404072167737
2022;12;2218;2218;14.402597402597403;11.673684210526316;249.9158374093439;258.556675900277;1.829662629500647;2.4530252946790285;4.199762869894399;6.993786407432026
2023;12;2097;2097;14.073825503355705;10.590909090909092;250.84689878834288;230.8275941230487;2.0730880136520935;2.511134206646398;6.405596046599163;7.133818605786651
